state,city
West Bengal,Tarakeswar
Madhya Pradesh,Tarana
Rajasthan,Taranagar
Haryana,Taraori
Odisha,Tarbha
Karnataka,Tarikere
Punjab,Tarn Taran
Maharashtra,Tasgaon
Uttarakhand,Tehri
Karnataka,Tekkalakote
Andhra Pradesh,Tenali
Tamil Nadu,Tenkasi
Jharkhand,Tenu dam-cum-Kathhara
Karnataka,Terdal
Assam,Tezpur
Uttar Pradesh,Thakurdwara
Tamil Nadu,Thammampatti
Uttar Pradesh,Thana Bhawan
Maharashtra,Thane
Haryana,Thanesar
Gujarat,Thangadh
Tamil Nadu,Thanjavur
Gujarat,Tharad
Tamil Nadu,Tharamangalam
Tamil Nadu,Tharangambadi
Tamil Nadu,Theni Allinagaram
Tamil Nadu,Thirumangalam
Tamil Nadu,Thirupuvanam
Tamil Nadu,Thiruthuraipoondi
Kerala,Thiruvalla
Tamil Nadu,Thiruvallur
Kerala,Thiruvananthapuram
Tamil Nadu,Thiruvarur
Kerala,Thodupuzha
Manipur,Thoubal
Kerala,Thrissur
Tamil Nadu,Thuraiyur
Madhya Pradesh,Tikamgarh
Chhattisgarh,Tilda Newra
Uttar Pradesh,Tilhar
Tamil Nadu,Tindivanam
Assam,Tinsukia
Karnataka,Tiptur
Maharashtra,Tirora
Tamil Nadu,Tiruchendur
Tamil Nadu,Tiruchengode
Tamil Nadu,Tiruchirappalli
Tamil Nadu,Tirukalukundram
Tamil Nadu,Tirukkoyilur
Tamil Nadu,Tirunelveli
Tamil Nadu,Tirupathur
Andhra Pradesh,Tirupati
Tamil Nadu,Tiruppur
Kerala,Tirur
Tamil Nadu,Tiruttani
Tamil Nadu,Tiruvannamalai
Tamil Nadu,Tiruvethipuram
Andhra Pradesh,Tiruvuru
Uttar Pradesh,Tirwaganj
Odisha,Titlagarh
Tamil Nadu,Tittakudi
Rajasthan,Todabhim
Rajasthan,Todaraisingh
Haryana,Tohana
Rajasthan,Tonk
Nagaland,Tuensang
Maharashtra,Tuljapur
Uttar Pradesh,Tulsipur
Karnataka,Tumkur
Maharashtra,Tumsar
Uttar Pradesh,Tundla
Andhra Pradesh,Tuni
Meghalaya,Tura
Maharashtra,Uchgaon
Rajasthan,Udaipur
Tripura,Udaipur
Rajasthan,Udaipurwati
Maharashtra,Udgir
Tamil Nadu,Udhagamandalam
Jammu and Kashmir,Udhampur
Tamil Nadu,Udumalaipettai
Karnataka,Udupi
Uttar Pradesh,Ujhani
Madhya Pradesh,Ujjain
Maharashtra,Umarga
Madhya Pradesh,Umaria
Maharashtra,Umarkhed
Gujarat,Umbergaon
Maharashtra,Umred
Gujarat,Umreth
Gujarat,Una
Gujarat,Unjha
Tamil Nadu,Unnamalaikadai
Uttar Pradesh,Unnao
Gujarat,Upleta
Maharashtra,Uran
Maharashtra,Uran Islampur
Andhra Pradesh,Uravakonda
Punjab,Urmar Tanda
Tamil Nadu,Usilampatti
Tamil Nadu,Uthamapalayam
Tamil Nadu,Uthiramerur
Uttar Pradesh,Utraula
Tamil Nadu,Vadakkuvalliyur
Tamil Nadu,Vadalur
Maharashtra,Vadgaon Kasba
Tamil Nadu,Vadipatti
Gujarat,Vadnagar
Gujarat,Vadodara
Maharashtra,Vaijapur
Kerala,Vaikom
Tamil Nadu,Valparai
Gujarat,Valsad
Tamil Nadu,Vandavasi
Tamil Nadu,Vaniyambadi
Gujarat,Vapi
Uttar Pradesh,Varanasi
Kerala,Varkala
Maharashtra,Vasai-Virar
Kerala,Vatakara
Tamil Nadu,Vedaranyam
Tamil Nadu,Vellakoil
Tamil Nadu,Vellore
Andhra Pradesh,Venkatagiri
Gujarat,Veraval
Madhya Pradesh,Vidisha
Rajasthan,"Vijainagar, Ajmer"
Gujarat,Vijapur
Madhya Pradesh,Vijaypur
Karnataka,Vijayapura
Andhra Pradesh,Vijayawada
Telangana,Vikarabad
Tamil Nadu,Vikramasingapuram
Tamil Nadu,Viluppuram
Andhra Pradesh,Vinukonda
Gujarat,Viramgam
Tamil Nadu,Virudhachalam
Tamil Nadu,Virudhunagar
Andhra Pradesh,Visakhapatnam
Gujarat,Visnagar
Tamil Nadu,Viswanatham
Maharashtra,Vita
Andhra Pradesh,Vizianagaram
Uttar Pradesh,Vrindavan
Gujarat,Vyara
Maharashtra,Wadgaon Road
Gujarat,Wadhwan
Karnataka,Wadi
Maharashtra,Wai
Telangana,Wanaparthy
Maharashtra,Wani
Gujarat,Wankaner
Madhya Pradesh,Wara Seoni
Telangana,Warangal
Maharashtra,Wardha
Uttar Pradesh,Warhapur
Bihar,Warisaliganj
Maharashtra,Warora
Maharashtra,Warud
Maharashtra,Washim
Nagaland,Wokha
Karnataka,Yadgir
Haryana,Yamunanagar
Puducherry,Yanam
Maharashtra,Yavatmal
Maharashtra,Yawal
Telangana,Yellandu
Andhra Pradesh,Yemmiganur
Andhra Pradesh,Yerraguntla
Maharashtra,Yevla
Uttar Pradesh,Zaidpur
Uttar Pradesh,Zamania
Punjab,Zira
Punjab,Zirakpur
Nagaland,Zunheboto
